<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MWIG40,D,19971231,000000,1000,1000,1000,1000,664842,0
MWIG40,D,19980105,000000,1019.3,1019.3,1019.3,1019.3,787373,0
MWIG40,D,19980106,000000,1011.8,1011.8,1011.8,1011.8,614119,0
MWIG40,D,19980107,000000,979.9,979.9,979.9,979.9,521771,0
MWIG40,D,19980108,000000,980.9,980.9,980.9,980.9,670675,0
MWIG40,D,19980109,000000,964.7,964.7,964.7,964.7,727071,0
MWIG40,D,19980112,000000,910,910,910,910,940018,0
MWIG40,D,19980113,000000,918.9,918.9,918.9,918.9,656139,0
MWIG40,D,19980114,000000,925.6,925.6,925.6,925.6,640616,0
MWIG40,D,19980115,000000,908.6,908.6,908.6,908.6,506260,0
MWIG40,D,19980116,000000,915,915,915,915,735504,0
MWIG40,D,19980119,000000,940.9,940.9,940.9,940.9,799703,0
MWIG40,D,19980120,000000,927.9,927.9,927.9,927.9,494294,0
MWIG40,D,19980121,000000,929,929,929,929,586115,0
MWIG40,D,19980122,000000,912.8,912.8,912.8,912.8,703530,0
MWIG40,D,19980123,000000,917,917,917,917,799530,0
MWIG40,D,19980126,000000,923.8,923.8,923.8,923.8,567833,0
MWIG40,D,19980127,000000,919.6,919.6,919.6,919.6,547874,0
MWIG40,D,19980128,000000,937,937,937,937,861084,0
MWIG40,D,19980129,000000,954.9,954.9,954.9,954.9,1236700,0
MWIG40,D,19980130,000000,966.5,966.5,966.5,966.5,1525974,0
MWIG40,D,19980202,000000,987.3,987.3,987.3,987.3,1251017,0
MWIG40,D,19980203,000000,1011.5,1011.5,1011.5,1011.5,1265177,0
MWIG40,D,19980204,000000,1007.9,1007.9,1007.9,1007.9,1386165,0
MWIG40,D,19980205,000000,1017.3,1017.3,1017.3,1017.3,1662156,0
MWIG40,D,19980206,000000,1051.3,1051.3,1051.3,1051.3,1807339,0
MWIG40,D,19980209,000000,1077.2,1077.2,1077.2,1077.2,2066776,0
MWIG40,D,19980210,000000,1080,1080,1080,1080,1891704,0
MWIG40,D,19980211,000000,1084.8,1084.8,1084.8,1084.8,1394494,0
MWIG40,D,19980212,000000,1079.1,1079.1,1079.1,1079.1,1335074,0
MWIG40,D,19980213,000000,1061.2,1061.2,1061.2,1061.2,1199605,0
MWIG40,D,19980216,000000,1053.5,1053.5,1053.5,1053.5,705748,0
MWIG40,D,19980217,000000,1055.7,1055.7,1055.7,1055.7,939796,0
MWIG40,D,19980218,000000,1072.2,1072.2,1072.2,1072.2,1078634,0
MWIG40,D,19980219,000000,1118.8,1118.8,1118.8,1118.8,1925693,0
MWIG40,D,19980220,000000,1112.9,1112.9,1112.9,1112.9,1482018,0
MWIG40,D,19980223,000000,1123.6,1123.6,1123.6,1123.6,1377502,0
MWIG40,D,19980224,000000,1125,1125,1125,1125,1490008,0
MWIG40,D,19980225,000000,1111.3,1111.3,1111.3,1111.3,1061596,0
MWIG40,D,19980226,000000,1137.2,1137.2,1137.2,1137.2,1709992,0
MWIG40,D,19980227,000000,1147.3,1147.3,1147.3,1147.3,1276341,0
MWIG40,D,19980302,000000,1149.9,1149.9,1149.9,1149.9,1362791,0
MWIG40,D,19980303,000000,1163.1,1163.1,1163.1,1163.1,1229184,0
MWIG40,D,19980304,000000,1135.7,1135.7,1135.7,1135.7,1148212,0
MWIG40,D,19980305,000000,1096.4,1096.4,1096.4,1096.4,836345,0
MWIG40,D,19980306,000000,1105.7,1105.7,1105.7,1105.7,722808,0
MWIG40,D,19980309,000000,1133.2,1133.2,1133.2,1133.2,1117103,0
MWIG40,D,19980310,000000,1166,1166,1166,1166,1610518,0
MWIG40,D,19980311,000000,1195.3,1195.3,1195.3,1195.3,1456714,0
MWIG40,D,19980312,000000,1172.8,1172.8,1172.8,1172.8,1182741,0
MWIG40,D,19980313,000000,1194,1194,1194,1194,1251665,0
MWIG40,D,19980316,000000,1179.4,1179.4,1179.4,1179.4,940446,0
MWIG40,D,19980317,000000,1174.4,1174.4,1174.4,1174.4,1175022,0
MWIG40,D,19980318,000000,1159.7,1159.7,1159.7,1159.7,1209515,0
MWIG40,D,19980319,000000,1166.1,1166.1,1166.1,1166.1,1065299,0
MWIG40,D,19980320,000000,1156.7,1156.7,1156.7,1156.7,929483,0
MWIG40,D,19980323,000000,1153.9,1153.9,1153.9,1153.9,728914,0
MWIG40,D,19980324,000000,1138.6,1138.6,1138.6,1138.6,725457,0
MWIG40,D,19980325,000000,1131.4,1131.4,1131.4,1131.4,887046,0
MWIG40,D,19980326,000000,1138.3,1138.3,1138.3,1138.3,797113,0
MWIG40,D,19980327,000000,1118.4,1118.4,1118.4,1118.4,1094759,0
MWIG40,D,19980330,000000,1116.8,1116.8,1116.8,1116.8,822464,0
MWIG40,D,19980331,000000,1105.1,1105.1,1105.1,1105.1,753910,0
MWIG40,D,19980401,000000,1109,1109,1109,1109,644255,0
MWIG40,D,19980402,000000,1102,1102,1102,1102,586891,0
MWIG40,D,19980406,000000,1105.3,1105.3,1105.3,1105.3,778195,0
MWIG40,D,19980407,000000,1131.2,1131.2,1131.2,1131.2,889780,0
MWIG40,D,19980408,000000,1128.3,1128.3,1128.3,1128.3,647491,0
MWIG40,D,19980409,000000,1105.8,1105.8,1105.8,1105.8,717163,0
MWIG40,D,19980414,000000,1115.6,1115.6,1115.6,1115.6,679068,0
MWIG40,D,19980415,000000,1123.1,1123.1,1123.1,1123.1,1102951,0
MWIG40,D,19980416,000000,1122.7,1122.7,1122.7,1122.7,790107,0
MWIG40,D,19980417,000000,1111.6,1111.6,1111.6,1111.6,651685,0
MWIG40,D,19980420,000000,1103.7,1103.7,1103.7,1103.7,684783,0
MWIG40,D,19980421,000000,1089.9,1089.9,1089.9,1089.9,967074,0
MWIG40,D,19980422,000000,1100.5,1100.5,1100.5,1100.5,955330,0
MWIG40,D,19980423,000000,1107,1107,1107,1107,1230162,0
MWIG40,D,19980424,000000,1125.6,1125.6,1125.6,1125.6,1337677,0
MWIG40,D,19980427,000000,1140.6,1140.6,1140.6,1140.6,1055645,0
MWIG40,D,19980428,000000,1109.9,1109.9,1109.9,1109.9,1010864,0
MWIG40,D,19980429,000000,1108.1,1108.1,1108.1,1108.1,1021056,0
MWIG40,D,19980430,000000,1127.4,1127.4,1127.4,1127.4,1050787,0
MWIG40,D,19980504,000000,1140.3,1140.3,1140.3,1140.3,1058223,0
MWIG40,D,19980505,000000,1137.5,1137.5,1137.5,1137.5,1111077,0
MWIG40,D,19980506,000000,1124.8,1124.8,1124.8,1124.8,1003969,0
MWIG40,D,19980507,000000,1115.6,1115.6,1115.6,1115.6,1323619,0
MWIG40,D,19980508,000000,1104.3,1104.3,1104.3,1104.3,1313159,0
MWIG40,D,19980511,000000,1110.8,1110.8,1110.8,1110.8,1064521,0
MWIG40,D,19980512,000000,1088.3,1088.3,1088.3,1088.3,977522,0
MWIG40,D,19980513,000000,1066.6,1066.6,1066.6,1066.6,970085,0
MWIG40,D,19980514,000000,1063.9,1063.9,1063.9,1063.9,973293,0
MWIG40,D,19980515,000000,1047.3,1047.3,1047.3,1047.3,846876,0
MWIG40,D,19980518,000000,1048,1048,1048,1048,711212,0
MWIG40,D,19980519,000000,1013.4,1013.4,1013.4,1013.4,813222,0
MWIG40,D,19980520,000000,1009.3,1009.3,1009.3,1009.3,964460,0
MWIG40,D,19980521,000000,1049.9,1049.9,1049.9,1049.9,1398979,0
MWIG40,D,19980522,000000,1044.7,1044.7,1044.7,1044.7,886782,0
MWIG40,D,19980525,000000,1021.1,1021.1,1021.1,1021.1,636637,0
MWIG40,D,19980526,000000,1000.5,1000.5,1000.5,1000.5,775618,0
MWIG40,D,19980527,000000,957.6,957.6,957.6,957.6,1063071,0
MWIG40,D,19980528,000000,930.3,930.3,930.3,930.3,1097076,0
MWIG40,D,19980529,000000,939.7,939.7,939.7,939.7,942209,0
MWIG40,D,19980601,000000,894,894,894,894,823093,0
MWIG40,D,19980602,000000,863.8,863.8,863.8,863.8,1667136,0
MWIG40,D,19980603,000000,885.6,885.6,885.6,885.6,1079164,0
MWIG40,D,19980604,000000,913,913,913,913,1152221,0
MWIG40,D,19980605,000000,929.3,929.3,929.3,929.3,907921,0
MWIG40,D,19980606,000000,951.9,951.9,951.9,951.9,826265,0
MWIG40,D,19980607,000000,931.9,931.9,931.9,931.9,611193,0
MWIG40,D,19980608,000000,897.7,897.7,897.7,897.7,884432,0
MWIG40,D,19980615,000000,854.1,854.1,854.1,854.1,776274,0
MWIG40,D,19980616,000000,847.8,847.8,847.8,847.8,830115,0
MWIG40,D,19980617,000000,899.4,899.4,899.4,899.4,1236238,0
MWIG40,D,19980618,000000,920,920,920,920,1010715,0
MWIG40,D,19980619,000000,887.8,887.8,887.8,887.8,1653775,0
MWIG40,D,19980622,000000,893,893,893,893,823909,0
MWIG40,D,19980623,000000,895.6,895.6,895.6,895.6,751156,0
MWIG40,D,19980624,000000,886.6,886.6,886.6,886.6,610538,0
MWIG40,D,19980625,000000,890.2,890.2,890.2,890.2,911815,0
MWIG40,D,19980626,000000,904.4,904.4,904.4,904.4,726686,0
MWIG40,D,19980627,000000,901.5,901.5,901.5,901.5,775770,0
MWIG40,D,19980628,000000,921.8,921.8,921.8,921.8,1288736,0
MWIG40,D,19980701,000000,930.4,930.4,930.4,930.4,1020696,0
MWIG40,D,19980702,000000,950.4,950.4,950.4,950.4,1207797,0
MWIG40,D,19980703,000000,955.3,955.3,955.3,955.3,1194024,0
MWIG40,D,19980706,000000,963.6,963.6,963.6,963.6,1308372,0
MWIG40,D,19980707,000000,972.6,972.6,972.6,972.6,1358989,0
MWIG40,D,19980708,000000,972.4,972.4,972.4,972.4,1017492,0
MWIG40,D,19980709,000000,960.8,960.8,960.8,960.8,748294,0
MWIG40,D,19980710,000000,945.6,945.6,945.6,945.6,774818,0
MWIG40,D,19980713,000000,962.2,962.2,962.2,962.2,1019827,0
MWIG40,D,19980714,000000,1008.4,1008.4,1008.4,1008.4,1328479,0
MWIG40,D,19980715,000000,1010.5,1010.5,1010.5,1010.5,1208750,0
MWIG40,D,19980716,000000,1000.5,1000.5,1000.5,1000.5,899271,0
MWIG40,D,19980717,000000,1028.2,1028.2,1028.2,1028.2,1615451,0
MWIG40,D,19980720,000000,1017.8,1017.8,1017.8,1017.8,1081410,0
MWIG40,D,19980721,000000,1027.8,1027.8,1027.8,1027.8,1339018,0
MWIG40,D,19980722,000000,990.4,990.4,990.4,990.4,1083435,0
MWIG40,D,19980723,000000,979.4,979.4,979.4,979.4,955392,0
MWIG40,D,19980724,000000,984.2,984.2,984.2,984.2,898976,0
MWIG40,D,19980727,000000,976,976,976,976,957501,0
MWIG40,D,19980728,000000,967.2,967.2,967.2,967.2,1081511,0
MWIG40,D,19980729,000000,949.4,949.4,949.4,949.4,877366,0
MWIG40,D,19980730,000000,946.7,946.7,946.7,946.7,780843,0
MWIG40,D,19980731,000000,959.9,959.9,959.9,959.9,684555,0
MWIG40,D,19980803,000000,924.5,924.5,924.5,924.5,700011,0
MWIG40,D,19980804,000000,920.5,920.5,920.5,920.5,789748,0
MWIG40,D,19980805,000000,899.2,899.2,899.2,899.2,954147,0
MWIG40,D,19980806,000000,904.8,904.8,904.8,904.8,664555,0
MWIG40,D,19980807,000000,899.8,899.8,899.8,899.8,776721,0
MWIG40,D,19980810,000000,900.1,900.1,900.1,900.1,589112,0
MWIG40,D,19980811,000000,882.4,882.4,882.4,882.4,734663,0
MWIG40,D,19980812,000000,872.1,872.1,872.1,872.1,941023,0
MWIG40,D,19980813,000000,844,844,844,844,913614,0
MWIG40,D,19980814,000000,847.5,847.5,847.5,847.5,989951,0
MWIG40,D,19980817,000000,822.3,822.3,822.3,822.3,658136,0
MWIG40,D,19980818,000000,847.9,847.9,847.9,847.9,912161,0
MWIG40,D,19980819,000000,868.3,868.3,868.3,868.3,1208779,0
MWIG40,D,19980820,000000,867.2,867.2,867.2,867.2,904581,0
MWIG40,D,19980821,000000,830.8,830.8,830.8,830.8,1091949,0
MWIG40,D,19980824,000000,813.3,813.3,813.3,813.3,978055,0
MWIG40,D,19980825,000000,813.6,813.6,813.6,813.6,1282176,0
