<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SWIG80,D,19941229,000000,1000,1000,1000,1000,154710,0
SWIG80,D,19950102,000000,1059.5,1059.5,1059.5,1059.5,106231,0
SWIG80,D,19950103,000000,1125.6,1125.6,1125.6,1125.6,257776,0
SWIG80,D,19950104,000000,1082.3,1082.3,1082.3,1082.3,173381,0
SWIG80,D,19950105,000000,1096.5,1096.5,1096.5,1096.5,125789,0
SWIG80,D,19950106,000000,1030.4,1030.4,1030.4,1030.4,118810,0
SWIG80,D,19950109,000000,1054.4,1054.4,1054.4,1054.4,139137,0
SWIG80,D,19950110,000000,1037.2,1037.2,1037.2,1037.2,78380,0
SWIG80,D,19950111,000000,1035.2,1035.2,1035.2,1035.2,122089,0
SWIG80,D,19950112,000000,1060.9,1060.9,1060.9,1060.9,112778,0
SWIG80,D,19950113,000000,1083.6,1083.6,1083.6,1083.6,106703,0
SWIG80,D,19950116,000000,1087.3,1087.3,1087.3,1087.3,137829,0
SWIG80,D,19950117,000000,1038.5,1038.5,1038.5,1038.5,69801,0
SWIG80,D,19950118,000000,1028.8,1028.8,1028.8,1028.8,98526,0
SWIG80,D,19950119,000000,1037,1037,1037,1037,86319,0
SWIG80,D,19950120,000000,1013,1013,1013,1013,87303,0
SWIG80,D,19950123,000000,976.1,976.1,976.1,976.1,71394,0
SWIG80,D,19950124,000000,940.6,940.6,940.6,940.6,107261,0
SWIG80,D,19950125,000000,942.4,942.4,942.4,942.4,87719,0
SWIG80,D,19950126,000000,918.3,918.3,918.3,918.3,79749,0
SWIG80,D,19950127,000000,905.6,905.6,905.6,905.6,80050,0
SWIG80,D,19950130,000000,890.6,890.6,890.6,890.6,79239,0
SWIG80,D,19950131,000000,850.7,850.7,850.7,850.7,79838,0
SWIG80,D,19950201,000000,906.2,906.2,906.2,906.2,58980,0
SWIG80,D,19950202,000000,852.5,852.5,852.5,852.5,79089,0
SWIG80,D,19950203,000000,818,818,818,818,99797,0
