<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WIG_ENERG,D,20100104,000000,4026.77,4026.77,4014.63,4014.63,0,0
WIG_ENERG,D,20100105,000000,4011.57,4035.23,4011.57,4035.23,0,0
WIG_ENERG,D,20100106,000000,4028.42,4032.5,4028.42,4030.88,0,0
WIG_ENERG,D,20100107,000000,3998.1,3998.1,3984.36,3984.36,0,0
WIG_ENERG,D,20100108,000000,4012.43,4012.43,3997.4,3997.4,0,0
WIG_ENERG,D,20100111,000000,4021.97,4028.55,4012.87,4012.87,0,0
WIG_ENERG,D,20100112,000000,3994.97,3994.97,3949.48,3949.48,0,0
WIG_ENERG,D,20100113,000000,3938.21,3957.4,3938.21,3957.4,0,0
WIG_ENERG,D,20100114,000000,3968.4,3968.4,3949.26,3951.57,0,0
WIG_ENERG,D,20100115,000000,3961.4,3961.4,3921.12,3921.12,0,0
WIG_ENERG,D,20100118,000000,3964.67,3967.68,3954.08,3967.68,0,0
WIG_ENERG,D,20100119,000000,3969.01,4013.17,3969.01,4013.17,0,0
WIG_ENERG,D,20100120,000000,4052.76,4056.97,4048.4,4048.4,0,0
WIG_ENERG,D,20100121,000000,4034.82,4042.25,4032.65,4032.65,767834,0
WIG_ENERG,D,20100122,000000,3978.14,3980.23,3974.63,3980.23,780746,0
WIG_ENERG,D,20100125,000000,3989.38,3989.38,3971.28,3971.28,503585,0
WIG_ENERG,D,20100126,000000,3934.73,3966.42,3934.73,3966.42,531401,0
WIG_ENERG,D,20100127,000000,3960.27,3989.07,3960.27,3989.07,2554150,0
WIG_ENERG,D,20100128,000000,4005.57,4005.57,4002.69,4003.13,1427602,0
WIG_ENERG,D,20100129,000000,3948.66,3991.15,3948.66,3991.15,937044,0
WIG_ENERG,D,20100201,000000,3955.49,3961.05,3955.49,3961.05,251864,0
WIG_ENERG,D,20100202,000000,3954.5,3954.5,3941.45,3941.45,647836,0
WIG_ENERG,D,20100203,000000,3923.96,3927.77,3923.49,3927.77,1465490,0
WIG_ENERG,D,20100204,000000,3922.85,3922.85,3864.56,3864.56,2743508,0
WIG_ENERG,D,20100205,000000,3812.13,3812.13,3778.12,3804.3,4075606,0
WIG_ENERG,D,20100208,000000,3749.13,3749.13,3729.3,3730.75,2887364,0
WIG_ENERG,D,20100209,000000,3749.61,3764.88,3749.61,3764.62,1675103,0
WIG_ENERG,D,20100210,000000,3782.86,3782.86,3742.82,3742.82,908126,0
