<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WIG_GORNIC,D,20110228,000000,4757.01,4870.11,4757.01,4870.11,2237287,0
WIG_GORNIC,D,20110301,000000,4911.3,4915.06,4852.74,4852.74,1425606,0
WIG_GORNIC,D,20110302,000000,4816.3,4920.16,4816.3,4920.16,928911,0
WIG_GORNIC,D,20110303,000000,4989.83,5068.57,4989.83,5068.57,1862502,0
WIG_GORNIC,D,20110304,000000,5125.07,5125.07,5031.05,5031.05,1096409,0
WIG_GORNIC,D,20110307,000000,5126.29,5126.29,5026.18,5026.18,1417362,0
WIG_GORNIC,D,20110308,000000,5026.48,5026.48,4901.68,4913.62,2714218,0
WIG_GORNIC,D,20110309,000000,4944.34,4949.35,4906.63,4906.63,1583088,0
WIG_GORNIC,D,20110310,000000,4787.93,4793.55,4740.24,4740.24,2609549,0
WIG_GORNIC,D,20110311,000000,4667.71,4760.22,4667.71,4760.22,2365543,0
WIG_GORNIC,D,20110314,000000,4851.03,4851.03,4795.5,4816.09,1364255,0
WIG_GORNIC,D,20110315,000000,4669.36,4733.04,4669.36,4733.04,3276843,0
WIG_GORNIC,D,20110316,000000,4808.03,4816.37,4788.41,4788.41,2301774,0
WIG_GORNIC,D,20110317,000000,4846.93,4945.23,4846.93,4944.24,2287342,0
WIG_GORNIC,D,20110318,000000,4954.87,4954.87,4915.74,4915.74,2294376,0
WIG_GORNIC,D,20110321,000000,4964.11,4964.11,4952.52,4952.52,778239,0
WIG_GORNIC,D,20110322,000000,4901.87,4919.27,4882.75,4919.27,904808,0
WIG_GORNIC,D,20110323,000000,4977.53,4992.22,4955.2,4992.22,1419564,0
WIG_GORNIC,D,20110324,000000,5092.85,5102.73,5007.6,5102.73,2508529,0
WIG_GORNIC,D,20110325,000000,5091.99,5138.99,5055.2,5138.99,1342341,0
WIG_GORNIC,D,20110328,000000,5104.15,5135.55,5104.15,5135.55,1017272,0
WIG_GORNIC,D,20110329,000000,5099.6,5101.38,5090.58,5101.38,1446195,0
WIG_GORNIC,D,20110330,000000,5146.21,5146.21,5018.82,5018.82,1659421,0
WIG_GORNIC,D,20110331,000000,5064.34,5064.34,5030.03,5030.03,1722633,0
WIG_GORNIC,D,20110401,000000,5078.34,5142.99,5057.54,5142.99,1372031,0
WIG_GORNIC,D,20110404,000000,5185.85,5202.39,5185.85,5186.39,1194721,0
WIG_GORNIC,D,20110405,000000,5150.84,5199.89,5150.84,5199.89,765352,0
WIG_GORNIC,D,20110406,000000,5237.32,5301.69,5237.32,5301.69,1287269,0
WIG_GORNIC,D,20110407,000000,5332.4,5358.79,5329.59,5358.79,1265425,0
WIG_GORNIC,D,20110408,000000,5450.21,5450.21,5338.02,5338.02,1347379,0
WIG_GORNIC,D,20110411,000000,5385.64,5385.64,5319,5319,997194,0
WIG_GORNIC,D,20110412,000000,5273.96,5298.55,5217.36,5217.36,1644148,0
WIG_GORNIC,D,20110413,000000,5256.29,5320.38,5256.29,5303.69,1131435,0
WIG_GORNIC,D,20110414,000000,5272.7,5272.7,5223.57,5233.64,1128471,0
WIG_GORNIC,D,20110415,000000,5249.38,5309.5,5249.38,5309.5,665550,0
WIG_GORNIC,D,20110418,000000,5319.21,5319.21,5171.49,5171.49,1582582,0
WIG_GORNIC,D,20110419,000000,5211.92,5233.97,5211.71,5211.71,765233,0
WIG_GORNIC,D,20110420,000000,5363.47,5415.94,5363.47,5415.94,2159390,0
WIG_GORNIC,D,20110421,000000,5403.71,5403.71,5379.54,5379.54,1097664,0
WIG_GORNIC,D,20110426,000000,5360.68,5387.19,5360.68,5387.19,756389,0
WIG_GORNIC,D,20110427,000000,5396.62,5396.62,5348.75,5348.75,853622,0
WIG_GORNIC,D,20110428,000000,5347.84,5397.87,5333.83,5397.87,820345,0
WIG_GORNIC,D,20110429,000000,5366.89,5375.65,5340.05,5340.05,701202,0
WIG_GORNIC,D,20110502,000000,5288.07,5350.76,5288.07,5350.76,660743,0
WIG_GORNIC,D,20110504,000000,5250.73,5250.73,5200.22,5200.22,1896129,0
WIG_GORNIC,D,20110505,000000,5156.8,5156.8,5047.76,5047.76,2220553,0
WIG_GORNIC,D,20110506,000000,4964.71,5092.27,4964.71,5028.74,3318811,0
WIG_GORNIC,D,20110509,000000,5073.35,5073.35,5009.95,5009.95,1318148,0
WIG_GORNIC,D,20110510,000000,5099.5,5115.95,5090.19,5115.95,1385105,0
WIG_GORNIC,D,20110511,000000,5127.31,5127.31,5075.6,5075.6,1125560,0
WIG_GORNIC,D,20110512,000000,4875.86,4940.67,4875.86,4940.67,3506417,0
WIG_GORNIC,D,20110513,000000,5030.38,5030.38,4955.4,4955.4,2357569,0
WIG_GORNIC,D,20110516,000000,4910.41,4949.67,4910.41,4949.67,1738355,0
WIG_GORNIC,D,20110517,000000,4949.52,4949.52,4866.31,4866.31,1110041,0
WIG_GORNIC,D,20110518,000000,4960.51,4983.2,4960.51,4983.2,1481492,0
WIG_GORNIC,D,20110519,000000,4983.98,5050.4,4973.45,4973.45,1735501,0
WIG_GORNIC,D,20110520,000000,5018.72,5018.72,4983.19,4983.19,976241,0
WIG_GORNIC,D,20110523,000000,4880.84,4928.57,4876.16,4928.57,1117289,0
WIG_GORNIC,D,20110524,000000,4957.15,4981.57,4957.15,4981.57,1474332,0
WIG_GORNIC,D,20110525,000000,5021.46,5078.13,5000.16,5078.13,1091516,0
