<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WIG_INFO,D,19910416,000000,100,100,100,100,24,0
WIG_INFO,D,19910423,000000,96.77,96.77,96.77,96.77,433,0
WIG_INFO,D,19910430,000000,94.56,94.56,94.56,94.56,525,0
WIG_INFO,D,19910514,000000,93.96,93.96,93.96,93.96,1342,0
WIG_INFO,D,19910521,000000,96.61,96.61,96.61,96.61,1082,0
WIG_INFO,D,19910528,000000,95.65,95.65,95.65,95.65,2306,0
WIG_INFO,D,19910604,000000,96.94,96.94,96.94,96.94,909,0
WIG_INFO,D,19910611,000000,96.04,96.04,96.04,96.04,1925,0
WIG_INFO,D,19910618,000000,86.68,86.68,86.68,86.68,2457,0
WIG_INFO,D,19910625,000000,85.02,85.02,85.02,85.02,1853,0
WIG_INFO,D,19910702,000000,89.12,89.12,89.12,89.12,2340,0
WIG_INFO,D,19910709,000000,86.66,86.66,86.66,86.66,2695,0
WIG_INFO,D,19910716,000000,83.44,83.44,83.44,83.44,3129,0
WIG_INFO,D,19910723,000000,85.34,85.34,85.34,85.34,3556,0
WIG_INFO,D,19910730,000000,82.51,82.51,82.51,82.51,2461,0
WIG_INFO,D,19910806,000000,79.42,79.42,79.42,79.42,3430,0
WIG_INFO,D,19910813,000000,77.16,77.16,77.16,77.16,1937,0
WIG_INFO,D,19910820,000000,75.69,75.69,75.69,75.69,2237,0
WIG_INFO,D,19910827,000000,73.97,73.97,73.97,73.97,2768,0
WIG_INFO,D,19910903,000000,72.58,72.58,72.58,72.58,2699,0
WIG_INFO,D,19910910,000000,71.52,71.52,71.52,71.52,3731,0
WIG_INFO,D,19910917,000000,69.28,69.28,69.28,69.28,3879,0
WIG_INFO,D,19910924,000000,68,68,68,68,6753,0
WIG_INFO,D,19911001,000000,67.85,67.85,67.85,67.85,19,0
WIG_INFO,D,19911008,000000,70.78,70.78,70.78,70.78,6693,0
WIG_INFO,D,19911015,000000,77.18,77.18,77.18,77.18,8928,0
WIG_INFO,D,19911022,000000,84.44,84.44,84.44,84.44,3853,0
WIG_INFO,D,19911029,000000,92.32,92.32,92.32,92.32,10658,0
WIG_INFO,D,19911105,000000,99.04,99.04,99.04,99.04,10790,0
WIG_INFO,D,19911112,000000,99.57,99.57,99.57,99.57,6300,0
WIG_INFO,D,19911119,000000,89.87,89.87,89.87,89.87,6049,0
WIG_INFO,D,19911126,000000,85.67,85.67,85.67,85.67,6181,0
WIG_INFO,D,19911203,000000,91.71,91.71,91.71,91.71,5608,0
WIG_INFO,D,19911210,000000,100.19,100.19,100.19,100.19,13878,0
WIG_INFO,D,19911217,000000,92.8,92.8,92.8,92.8,6,0
WIG_INFO,D,19911231,000000,91.91,91.91,91.91,91.91,7973,0
WIG_INFO,D,19920107,000000,97.49,97.49,97.49,97.49,5193,0
WIG_INFO,D,19920109,000000,96.41,96.41,96.41,96.41,2919,0
WIG_INFO,D,19920114,000000,93.08,93.08,93.08,93.08,3766,0
WIG_INFO,D,19920116,000000,91.51,91.51,91.51,91.51,2938,0
WIG_INFO,D,19920121,000000,94.73,94.73,94.73,94.73,3879,0
WIG_INFO,D,19920123,000000,95.27,95.27,95.27,95.27,2542,0
WIG_INFO,D,19920128,000000,93.33,93.33,93.33,93.33,4079,0
WIG_INFO,D,19920130,000000,93.74,93.74,93.74,93.74,8,0
WIG_INFO,D,19920204,000000,93.51,93.51,93.51,93.51,4063,0
WIG_INFO,D,19920206,000000,90.13,90.13,90.13,90.13,4573,0
WIG_INFO,D,19920211,000000,93.67,93.67,93.67,93.67,3753,0
WIG_INFO,D,19920213,000000,91.98,91.98,91.98,91.98,11547,0
WIG_INFO,D,19920218,000000,92.34,92.34,92.34,92.34,3989,0
WIG_INFO,D,19920220,000000,93.26,93.26,93.26,93.26,21145,0
WIG_INFO,D,19920225,000000,94.16,94.16,94.16,94.16,7096,0
WIG_INFO,D,19920227,000000,92.54,92.54,92.54,92.54,14978,0
WIG_INFO,D,19920303,000000,94.79,94.79,94.79,94.79,18292,0
WIG_INFO,D,19920305,000000,95.66,95.66,95.66,95.66,9598,0
WIG_INFO,D,19920310,000000,95.2,95.2,95.2,95.2,15624,0
WIG_INFO,D,19920312,000000,95.54,95.54,95.54,95.54,9879,0
WIG_INFO,D,19920317,000000,92.05,92.05,92.05,92.05,17812,0
WIG_INFO,D,19920319,000000,93.92,93.92,93.92,93.92,16875,0
WIG_INFO,D,19920324,000000,93.49,93.49,93.49,93.49,17657,0
WIG_INFO,D,19920326,000000,91.31,91.31,91.31,91.31,59839,0
WIG_INFO,D,19920331,000000,88.22,88.22,88.22,88.22,11716,0
WIG_INFO,D,19920402,000000,87.83,87.83,87.83,87.83,53972,0
WIG_INFO,D,19920407,000000,85.22,85.22,85.22,85.22,5530,0
WIG_INFO,D,19920409,000000,84.08,84.08,84.08,84.08,34613,0
WIG_INFO,D,19920414,000000,84.43,84.43,84.43,84.43,24390,0
WIG_INFO,D,19920416,000000,83.19,83.19,83.19,83.19,25319,0
WIG_INFO,D,19920423,000000,83.19,83.19,83.19,83.19,57767,0
WIG_INFO,D,19920428,000000,79.67,79.67,79.67,79.67,88624,0
WIG_INFO,D,19920430,000000,77.42,77.42,77.42,77.42,74090,0
WIG_INFO,D,19920505,000000,76.13,76.13,76.13,76.13,45345,0
WIG_INFO,D,19920507,000000,76.81,76.81,76.81,76.81,39645,0
WIG_INFO,D,19920512,000000,78.25,78.25,78.25,78.25,55803,0
WIG_INFO,D,19920514,000000,77.06,77.06,77.06,77.06,56576,0
WIG_INFO,D,19920519,000000,74.73,74.73,74.73,74.73,43602,0
WIG_INFO,D,19920521,000000,74.87,74.87,74.87,74.87,32385,0
WIG_INFO,D,19920526,000000,73.89,73.89,73.89,73.89,48114,0
