<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WIG_LEKI,D,20170102,000000,5278.13,5278.13,5176.04,5216.32,130995,0
WIG_LEKI,D,20170103,000000,5254.27,5284.51,5245.03,5250.21,371206,0
WIG_LEKI,D,20170104,000000,5257.25,5277.79,5227.67,5239.52,248710,0
WIG_LEKI,D,20170105,000000,5259.1,5309.75,5245.97,5269.08,388543,0
WIG_LEKI,D,20170109,000000,5254.54,5280.26,5204.57,5280.26,297764,0
WIG_LEKI,D,20170110,000000,5251.04,5296.43,5245.21,5248.13,383838,0
WIG_LEKI,D,20170111,000000,5263.45,5283.11,5243.12,5260.54,464634,0
WIG_LEKI,D,20170112,000000,5240.86,5332.67,5224.98,5302.59,487887,0
WIG_LEKI,D,20170113,000000,5319.27,5321.47,5259.16,5288.28,404986,0
WIG_LEKI,D,20170116,000000,5264.52,5282.46,5218.53,5269.65,314765,0
WIG_LEKI,D,20170117,000000,5277.44,5277.44,5247.61,5273.41,185001,0
WIG_LEKI,D,20170118,000000,5269.11,5308.02,5266.33,5306.38,806837,0
WIG_LEKI,D,20170119,000000,5310.73,5385.03,5293.43,5361.47,393450,0
WIG_LEKI,D,20170120,000000,5365.08,5423.09,5334.64,5400.23,351704,0
WIG_LEKI,D,20170123,000000,5418.4,5492.97,5418.26,5471.4,477876,0
WIG_LEKI,D,20170124,000000,5488.39,5607.3,5488.39,5594.25,397561,0
WIG_LEKI,D,20170125,000000,5603.52,5710.35,5598.23,5655.73,585196,0
WIG_LEKI,D,20170126,000000,5677.63,5801.03,5588.3,5688.52,712306,0
WIG_LEKI,D,20170127,000000,5718.54,5753.49,5662.77,5737.87,420225,0
WIG_LEKI,D,20170130,000000,5751.51,5925.05,5751.51,5795.49,448694,0
WIG_LEKI,D,20170131,000000,5849.05,5869.7,5798.56,5856.8,324578,0
WIG_LEKI,D,20170201,000000,5884.71,5909.26,5818.68,5833.63,405858,0
WIG_LEKI,D,20170202,000000,5856.67,5856.68,5795.63,5827.92,487891,0
WIG_LEKI,D,20170203,000000,5826.87,5833.21,5674.32,5678.1,311312,0
WIG_LEKI,D,20170206,000000,5635.1,5691.79,5576.12,5614.91,195849,0
WIG_LEKI,D,20170207,000000,5621.58,5636,5533.64,5595.17,318538,0
WIG_LEKI,D,20170208,000000,5604.38,5663.74,5566.98,5623.47,2197330,0
WIG_LEKI,D,20170209,000000,5658.99,5673.67,5528.43,5537.8,745379,0
WIG_LEKI,D,20170210,000000,5562.1,5565.33,5446.22,5490.01,1935472,0
WIG_LEKI,D,20170213,000000,5504.44,5604.6,5480.71,5604.6,1306415,0
WIG_LEKI,D,20170214,000000,5637.79,5653.63,5547.67,5650.41,1592444,0
WIG_LEKI,D,20170215,000000,5646.05,5776.9,5645.38,5771.6,805891,0
WIG_LEKI,D,20170216,000000,5785.6,6011.21,5785.6,6011.21,785045,0
WIG_LEKI,D,20170217,000000,5998.88,6058.44,5924.72,5953.33,359251,0
WIG_LEKI,D,20170220,000000,5989.31,6049.11,5940.54,5966.17,466940,0
WIG_LEKI,D,20170221,000000,5962.37,6005.77,5848.99,5903.53,457843,0
WIG_LEKI,D,20170222,000000,5921.79,6002.44,5841.81,6002.44,733210,0
WIG_LEKI,D,20170223,000000,5998.46,6149.35,5939.56,6138.1,401830,0
WIG_LEKI,D,20170224,000000,6132.83,6132.83,5968.75,6057.03,568918,0
WIG_LEKI,D,20170227,000000,6079.57,6161.72,6012.11,6051.13,439862,0
WIG_LEKI,D,20170228,000000,6085.37,6108.96,5970.65,6049.59,1451210,0
WIG_LEKI,D,20170301,000000,6067.82,6192.3,6009.66,6192.3,1544457,0
WIG_LEKI,D,20170302,000000,6217.63,6242.81,6157.4,6186.41,1155931,0
WIG_LEKI,D,20170303,000000,6167.16,6213.9,6092.9,6209.58,2402847,0
WIG_LEKI,D,20170306,000000,6196,6208.07,6043.06,6128.6,3006914,0
WIG_LEKI,D,20170307,000000,6014.88,6065.22,5898.14,5997.95,1376686,0
WIG_LEKI,D,20170308,000000,5899.48,6026.4,5873.01,6026.4,841331,0
WIG_LEKI,D,20170309,000000,6059.02,6087.45,5913.28,5950.15,493478,0
WIG_LEKI,D,20170310,000000,5925.44,6089.96,5925.44,6089.96,246789,0
WIG_LEKI,D,20170313,000000,6120.47,6225.01,6098.23,6176.41,1082079,0
WIG_LEKI,D,20170314,000000,6227.17,6271.83,6182.27,6239.71,959036,0
WIG_LEKI,D,20170315,000000,6229.66,6284.62,6131.59,6142.3,573833,0
WIG_LEKI,D,20170316,000000,6174.85,6263.39,6172.95,6263.39,596127,0
WIG_LEKI,D,20170317,000000,6240.13,6302.11,6192.77,6242.91,636918,0
WIG_LEKI,D,20170320,000000,6214.34,6330.62,6204.02,6298.07,477602,0
