<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WIG_NRCHOM,D,19910416,000000,100,100,100,100,5,0
WIG_NRCHOM,D,19910423,000000,96.77,96.77,96.77,96.77,91,0
WIG_NRCHOM,D,19910430,000000,94.56,94.56,94.56,94.56,110,0
WIG_NRCHOM,D,19910514,000000,93.96,93.96,93.96,93.96,282,0
WIG_NRCHOM,D,19910521,000000,96.61,96.61,96.61,96.61,227,0
WIG_NRCHOM,D,19910528,000000,95.65,95.65,95.65,95.65,484,0
WIG_NRCHOM,D,19910604,000000,96.94,96.94,96.94,96.94,191,0
WIG_NRCHOM,D,19910611,000000,96.04,96.04,96.04,96.04,404,0
WIG_NRCHOM,D,19910618,000000,86.68,86.68,86.68,86.68,515,0
WIG_NRCHOM,D,19910625,000000,85.02,85.02,85.02,85.02,389,0
WIG_NRCHOM,D,19910702,000000,89.12,89.12,89.12,89.12,491,0
WIG_NRCHOM,D,19910709,000000,86.66,86.66,86.66,86.66,565,0
WIG_NRCHOM,D,19910716,000000,83.44,83.44,83.44,83.44,656,0
WIG_NRCHOM,D,19910723,000000,85.34,85.34,85.34,85.34,746,0
WIG_NRCHOM,D,19910730,000000,82.51,82.51,82.51,82.51,516,0
WIG_NRCHOM,D,19910806,000000,79.42,79.42,79.42,79.42,720,0
WIG_NRCHOM,D,19910813,000000,77.16,77.16,77.16,77.16,406,0
WIG_NRCHOM,D,19910820,000000,75.69,75.69,75.69,75.69,469,0
WIG_NRCHOM,D,19910827,000000,73.97,73.97,73.97,73.97,581,0
WIG_NRCHOM,D,19910903,000000,72.58,72.58,72.58,72.58,566,0
WIG_NRCHOM,D,19910910,000000,71.52,71.52,71.52,71.52,783,0
WIG_NRCHOM,D,19910917,000000,69.28,69.28,69.28,69.28,814,0
WIG_NRCHOM,D,19910924,000000,68,68,68,68,1417,0
WIG_NRCHOM,D,19911001,000000,67.85,67.85,67.85,67.85,4,0
WIG_NRCHOM,D,19911008,000000,70.78,70.78,70.78,70.78,1404,0
WIG_NRCHOM,D,19911015,000000,77.18,77.18,77.18,77.18,1873,0
WIG_NRCHOM,D,19911022,000000,84.44,84.44,84.44,84.44,808,0
WIG_NRCHOM,D,19911029,000000,92.32,92.32,92.32,92.32,2236,0
WIG_NRCHOM,D,19911105,000000,99.04,99.04,99.04,99.04,2264,0
WIG_NRCHOM,D,19911112,000000,99.57,99.57,99.57,99.57,1321,0
WIG_NRCHOM,D,19911119,000000,89.87,89.87,89.87,89.87,1269,0
WIG_NRCHOM,D,19911126,000000,85.67,85.67,85.67,85.67,1297,0
WIG_NRCHOM,D,19911203,000000,91.71,91.71,91.71,91.71,1176,0
WIG_NRCHOM,D,19911210,000000,100.19,100.19,100.19,100.19,2911,0
WIG_NRCHOM,D,19911217,000000,92.8,92.8,92.8,92.8,1,0
WIG_NRCHOM,D,19911231,000000,91.91,91.91,91.91,91.91,1673,0
WIG_NRCHOM,D,19920107,000000,97.49,97.49,97.49,97.49,1089,0
WIG_NRCHOM,D,19920109,000000,96.41,96.41,96.41,96.41,612,0
WIG_NRCHOM,D,19920114,000000,93.08,93.08,93.08,93.08,790,0
WIG_NRCHOM,D,19920116,000000,91.51,91.51,91.51,91.51,616,0
WIG_NRCHOM,D,19920121,000000,94.73,94.73,94.73,94.73,814,0
WIG_NRCHOM,D,19920123,000000,95.27,95.27,95.27,95.27,533,0
WIG_NRCHOM,D,19920128,000000,93.33,93.33,93.33,93.33,856,0
WIG_NRCHOM,D,19920130,000000,93.74,93.74,93.74,93.74,2,0
WIG_NRCHOM,D,19920204,000000,93.51,93.51,93.51,93.51,852,0
WIG_NRCHOM,D,19920206,000000,90.13,90.13,90.13,90.13,959,0
WIG_NRCHOM,D,19920211,000000,93.67,93.67,93.67,93.67,787,0
WIG_NRCHOM,D,19920213,000000,91.98,91.98,91.98,91.98,2422,0
WIG_NRCHOM,D,19920218,000000,92.34,92.34,92.34,92.34,837,0
WIG_NRCHOM,D,19920220,000000,93.26,93.26,93.26,93.26,4436,0
WIG_NRCHOM,D,19920225,000000,94.16,94.16,94.16,94.16,1489,0
WIG_NRCHOM,D,19920227,000000,92.54,92.54,92.54,92.54,3142,0
WIG_NRCHOM,D,19920303,000000,94.79,94.79,94.79,94.79,3837,0
WIG_NRCHOM,D,19920305,000000,95.66,95.66,95.66,95.66,2013,0
WIG_NRCHOM,D,19920310,000000,95.2,95.2,95.2,95.2,3278,0
WIG_NRCHOM,D,19920312,000000,95.54,95.54,95.54,95.54,2072,0
WIG_NRCHOM,D,19920317,000000,92.05,92.05,92.05,92.05,3737,0
WIG_NRCHOM,D,19920319,000000,93.92,93.92,93.92,93.92,3540,0
WIG_NRCHOM,D,19920324,000000,93.49,93.49,93.49,93.49,3704,0
WIG_NRCHOM,D,19920326,000000,91.31,91.31,91.31,91.31,12553,0
WIG_NRCHOM,D,19920331,000000,88.22,88.22,88.22,88.22,2458,0
WIG_NRCHOM,D,19920402,000000,87.83,87.83,87.83,87.83,11322,0
WIG_NRCHOM,D,19920407,000000,85.22,85.22,85.22,85.22,1160,0
WIG_NRCHOM,D,19920409,000000,84.08,84.08,84.08,84.08,7261,0
WIG_NRCHOM,D,19920414,000000,84.43,84.43,84.43,84.43,5116,0
WIG_NRCHOM,D,19920416,000000,83.19,83.19,83.19,83.19,5311,0
WIG_NRCHOM,D,19920423,000000,83.19,83.19,83.19,83.19,12118,0
WIG_NRCHOM,D,19920428,000000,79.67,79.67,79.67,79.67,18591,0
WIG_NRCHOM,D,19920430,000000,77.42,77.42,77.42,77.42,15542,0
WIG_NRCHOM,D,19920505,000000,76.13,76.13,76.13,76.13,9512,0
WIG_NRCHOM,D,19920507,000000,76.81,76.81,76.81,76.81,8316,0
WIG_NRCHOM,D,19920512,000000,78.25,78.25,78.25,78.25,11706,0
WIG_NRCHOM,D,19920514,000000,77.06,77.06,77.06,77.06,11868,0
WIG_NRCHOM,D,19920519,000000,74.73,74.73,74.73,74.73,9147,0
WIG_NRCHOM,D,19920521,000000,74.87,74.87,74.87,74.87,6794,0
WIG_NRCHOM,D,19920526,000000,73.89,73.89,73.89,73.89,10093,0
WIG_NRCHOM,D,19920528,000000,74.86,74.86,74.86,74.86,10160,0
WIG_NRCHOM,D,19920602,000000,74.67,74.67,74.67,74.67,12625,0
WIG_NRCHOM,D,19920604,000000,72.32,72.32,72.32,72.32,13114,0
WIG_NRCHOM,D,19920609,000000,70.8,70.8,70.8,70.8,10858,0
WIG_NRCHOM,D,19920611,000000,68.56,68.56,68.56,68.56,5436,0
WIG_NRCHOM,D,19920616,000000,67.12,67.12,67.12,67.12,7075,0
WIG_NRCHOM,D,19920623,000000,63.53,63.53,63.53,63.53,9763,0
WIG_NRCHOM,D,19920625,000000,66.03,66.03,66.03,66.03,6139,0
WIG_NRCHOM,D,19920630,000000,72.35,72.35,72.35,72.35,5870,0
WIG_NRCHOM,D,19920702,000000,79.19,79.19,79.19,79.19,559,0
WIG_NRCHOM,D,19920707,000000,86.18,86.18,86.18,86.18,22957,0
WIG_NRCHOM,D,19920709,000000,87.06,87.06,87.06,87.06,17914,0
WIG_NRCHOM,D,19920714,000000,83.97,83.97,83.97,83.97,15152,0
WIG_NRCHOM,D,19920716,000000,85.39,85.39,85.39,85.39,13922,0
WIG_NRCHOM,D,19920721,000000,83.07,83.07,83.07,83.07,16780,0
WIG_NRCHOM,D,19920723,000000,85.02,85.02,85.02,85.02,23688,0
WIG_NRCHOM,D,19920728,000000,84.62,84.62,84.62,84.62,24241,0
WIG_NRCHOM,D,19920730,000000,84.12,84.12,84.12,84.12,21290,0
WIG_NRCHOM,D,19920804,000000,81.91,81.91,81.91,81.91,15752,0
