<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WIG_ODZIEZ,D,20170102,000000,5140.34,5298.33,5140.34,5174.68,757751,0
WIG_ODZIEZ,D,20170103,000000,5182.48,5261.87,5086.16,5167.92,1253199,0
WIG_ODZIEZ,D,20170104,000000,5206.33,5213.91,5107.12,5122.17,1089739,0
WIG_ODZIEZ,D,20170105,000000,5112.18,5118.42,5019.62,5045.15,2588875,0
WIG_ODZIEZ,D,20170109,000000,5084.04,5109.78,4996.84,5109.78,1687816,0
WIG_ODZIEZ,D,20170110,000000,5140.97,5201.09,5118.49,5189.12,1082308,0
WIG_ODZIEZ,D,20170111,000000,5194.2,5194.87,5140.53,5180.91,2112530,0
WIG_ODZIEZ,D,20170112,000000,5158.35,5198.51,5105.16,5112.4,1246116,0
WIG_ODZIEZ,D,20170113,000000,5105.74,5158.54,5085.74,5158.54,2061534,0
WIG_ODZIEZ,D,20170116,000000,5128.4,5164.98,5116.99,5139.15,1296706,0
WIG_ODZIEZ,D,20170117,000000,5150.38,5162.21,5083.5,5121.79,3253871,0
WIG_ODZIEZ,D,20170118,000000,5169.96,5181.28,5098.79,5124.87,1727586,0
WIG_ODZIEZ,D,20170119,000000,5128.04,5157.53,5108.73,5157.53,706256,0
WIG_ODZIEZ,D,20170120,000000,5151.52,5218.99,5112.34,5134.24,719958,0
WIG_ODZIEZ,D,20170123,000000,5118.68,5144.25,5053.95,5053.95,998816,0
WIG_ODZIEZ,D,20170124,000000,5035.97,5056.54,4953.63,5004.35,1114650,0
WIG_ODZIEZ,D,20170125,000000,5050,5156.28,5033.31,5104.58,1337853,0
WIG_ODZIEZ,D,20170126,000000,5120.69,5151.18,5036.42,5059.84,2285760,0
WIG_ODZIEZ,D,20170127,000000,5042.82,5090.15,5018.82,5018.82,3896342,0
WIG_ODZIEZ,D,20170130,000000,5019.34,5091.54,4988.28,4998.35,2224187,0
WIG_ODZIEZ,D,20170131,000000,5033.38,5033.38,4920.41,4931,1922273,0
WIG_ODZIEZ,D,20170201,000000,4942.77,4986,4868.26,4898.72,1406898,0
WIG_ODZIEZ,D,20170202,000000,4902.43,4977.95,4865.57,4964.13,1100525,0
WIG_ODZIEZ,D,20170203,000000,4962.53,5023.62,4949.13,5011.55,1382104,0
WIG_ODZIEZ,D,20170206,000000,4982.94,5014.24,4931.88,4972.64,1110532,0
WIG_ODZIEZ,D,20170207,000000,4964.83,5026.78,4935.81,5013.79,1979498,0
WIG_ODZIEZ,D,20170208,000000,4997.65,5076.26,4957.72,5076.26,1017429,0
WIG_ODZIEZ,D,20170209,000000,5065.92,5088.63,5014.58,5058.78,1326775,0
WIG_ODZIEZ,D,20170210,000000,5052.53,5063.43,4982.89,5027.26,1511655,0
WIG_ODZIEZ,D,20170213,000000,5033.68,5111.47,5002.89,5111.47,2344139,0
WIG_ODZIEZ,D,20170214,000000,5106.49,5179.45,5079.27,5134.62,1849132,0
WIG_ODZIEZ,D,20170215,000000,5153.22,5197.15,5135.06,5173.37,1713320,0
WIG_ODZIEZ,D,20170216,000000,5207.25,5219.15,5129.24,5185.51,1048853,0
WIG_ODZIEZ,D,20170217,000000,5180.35,5191.25,5108.83,5133.05,1087702,0
WIG_ODZIEZ,D,20170220,000000,5147.78,5152.43,5113.93,5127.8,672619,0
WIG_ODZIEZ,D,20170221,000000,5134.33,5190.59,5110.06,5186.79,1129088,0
WIG_ODZIEZ,D,20170222,000000,5164.34,5226.89,5149.95,5226.89,1288328,0
WIG_ODZIEZ,D,20170223,000000,5229.29,5402.69,5169.06,5392.62,1461234,0
WIG_ODZIEZ,D,20170224,000000,5376.34,5387.62,5279.56,5385.1,1961526,0
WIG_ODZIEZ,D,20170227,000000,5389.54,5432.92,5284.59,5430.2,1175075,0
WIG_ODZIEZ,D,20170228,000000,5416.81,5431.93,5289,5372.66,1209609,0
WIG_ODZIEZ,D,20170301,000000,5377.37,5519.59,5365.06,5519.59,1156931,0
WIG_ODZIEZ,D,20170302,000000,5521.75,5564.75,5479.36,5564.65,1906713,0
WIG_ODZIEZ,D,20170303,000000,5514.08,5593.35,5486.56,5524.59,2556711,0
WIG_ODZIEZ,D,20170306,000000,5535.46,5550.11,5469.37,5533.08,1735702,0
WIG_ODZIEZ,D,20170307,000000,5531.01,5711.54,5486.98,5694.65,1701079,0
WIG_ODZIEZ,D,20170308,000000,5733.97,5733.97,5654.98,5728.15,1196941,0
WIG_ODZIEZ,D,20170309,000000,5734.38,5737.48,5627.44,5716.78,3376374,0
WIG_ODZIEZ,D,20170310,000000,5761.15,5924.44,5761.15,5821.77,1817251,0
WIG_ODZIEZ,D,20170313,000000,5856.31,5887.43,5778.34,5842.88,3472539,0
WIG_ODZIEZ,D,20170314,000000,5877.72,5909.96,5833.5,5888.24,3206805,0
WIG_ODZIEZ,D,20170315,000000,5918.55,5954.61,5881.18,5903.35,1677445,0
WIG_ODZIEZ,D,20170316,000000,5993.73,6087.71,5977.86,6047.36,2229481,0
WIG_ODZIEZ,D,20170317,000000,6068.56,6175.36,5980.77,6092.41,1830473,0
WIG_ODZIEZ,D,20170320,000000,6074.42,6081.29,5911.54,5916.91,1100360,0
WIG_ODZIEZ,D,20170321,000000,5953.94,6003.15,5783.51,5795.72,1615331,0
WIG_ODZIEZ,D,20170322,000000,5786.08,5796.54,5592.48,5744.84,971111,0
WIG_ODZIEZ,D,20170323,000000,5729.47,5874.3,5719.6,5842.41,1032719,0
WIG_ODZIEZ,D,20170324,000000,5799.75,5885.14,5720.28,5823.46,965042,0
WIG_ODZIEZ,D,20170327,000000,5777.89,5875.32,5746.38,5875.32,779653,0
WIG_ODZIEZ,D,20170328,000000,5823.35,5863.13,5776.99,5843.71,1190176,0
WIG_ODZIEZ,D,20170329,000000,5793.03,5864.94,5714.84,5783.88,1390476,0
WIG_ODZIEZ,D,20170330,000000,5799.97,5930.61,5799.44,5930.61,4919968,0
WIG_ODZIEZ,D,20170331,000000,5863.67,6030.86,5863.67,6020.58,2031999,0
WIG_ODZIEZ,D,20170403,000000,6059.61,6143.61,5730.79,5973.57,1825357,0
WIG_ODZIEZ,D,20170404,000000,5914.04,5955.89,5880.8,5919.42,2956154,0
WIG_ODZIEZ,D,20170405,000000,5910.2,5965.47,5824.05,5858.22,1742754,0
WIG_ODZIEZ,D,20170406,000000,5799.16,5827.03,5761.77,5798.77,779371,0
WIG_ODZIEZ,D,20170407,000000,5772.29,5839.78,5727.15,5751.9,1150625,0
WIG_ODZIEZ,D,20170410,000000,5808.09,5812.56,5704.57,5704.57,1206944,0
WIG_ODZIEZ,D,20170411,000000,5683.67,5822.78,5619.79,5672.45,1317154,0
WIG_ODZIEZ,D,20170412,000000,5699.65,5780.89,5681.11,5740.98,951099,0
