<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WIG_PALIWA,D,19910416,000000,100,100,100,100,130,0
WIG_PALIWA,D,19910423,000000,96.77,96.77,96.77,96.77,2362,0
WIG_PALIWA,D,19910430,000000,94.56,94.56,94.56,94.56,2864,0
WIG_PALIWA,D,19910514,000000,93.96,93.96,93.96,93.96,7320,0
WIG_PALIWA,D,19910521,000000,96.61,96.61,96.61,96.61,5900,0
WIG_PALIWA,D,19910528,000000,95.65,95.65,95.65,95.65,12576,0
WIG_PALIWA,D,19910604,000000,96.94,96.94,96.94,96.94,4958,0
WIG_PALIWA,D,19910611,000000,96.04,96.04,96.04,96.04,10498,0
WIG_PALIWA,D,19910618,000000,86.68,86.68,86.68,86.68,13398,0
WIG_PALIWA,D,19910625,000000,85.02,85.02,85.02,85.02,10105,0
WIG_PALIWA,D,19910702,000000,89.12,89.12,89.12,89.12,12765,0
WIG_PALIWA,D,19910709,000000,86.66,86.66,86.66,86.66,14697,0
WIG_PALIWA,D,19910716,000000,83.44,83.44,83.44,83.44,17065,0
WIG_PALIWA,D,19910723,000000,85.34,85.34,85.34,85.34,19393,0
WIG_PALIWA,D,19910730,000000,82.51,82.51,82.51,82.51,13423,0
WIG_PALIWA,D,19910806,000000,79.42,79.42,79.42,79.42,18708,0
WIG_PALIWA,D,19910813,000000,77.16,77.16,77.16,77.16,10566,0
WIG_PALIWA,D,19910820,000000,75.69,75.69,75.69,75.69,12198,0
WIG_PALIWA,D,19910827,000000,73.97,73.97,73.97,73.97,15096,0
WIG_PALIWA,D,19910903,000000,72.58,72.58,72.58,72.58,14718,0
WIG_PALIWA,D,19910910,000000,71.52,71.52,71.52,71.52,20347,0
WIG_PALIWA,D,19910917,000000,69.28,69.28,69.28,69.28,21156,0
WIG_PALIWA,D,19910924,000000,68,68,68,68,36833,0
WIG_PALIWA,D,19911001,000000,67.85,67.85,67.85,67.85,102,0
WIG_PALIWA,D,19911008,000000,70.78,70.78,70.78,70.78,36504,0
WIG_PALIWA,D,19911015,000000,77.18,77.18,77.18,77.18,48697,0
WIG_PALIWA,D,19911022,000000,84.44,84.44,84.44,84.44,21017,0
WIG_PALIWA,D,19911029,000000,92.32,92.32,92.32,92.32,58130,0
WIG_PALIWA,D,19911105,000000,99.04,99.04,99.04,99.04,58851,0
WIG_PALIWA,D,19911112,000000,99.57,99.57,99.57,99.57,34358,0
WIG_PALIWA,D,19911119,000000,89.87,89.87,89.87,89.87,32994,0
WIG_PALIWA,D,19911126,000000,85.67,85.67,85.67,85.67,33714,0
WIG_PALIWA,D,19911203,000000,91.71,91.71,91.71,91.71,30584,0
WIG_PALIWA,D,19911210,000000,100.19,100.19,100.19,100.19,75692,0
WIG_PALIWA,D,19911217,000000,92.8,92.8,92.8,92.8,34,0
WIG_PALIWA,D,19911231,000000,91.91,91.91,91.91,91.91,43486,0
WIG_PALIWA,D,19920107,000000,97.49,97.49,97.49,97.49,28322,0
WIG_PALIWA,D,19920109,000000,96.41,96.41,96.41,96.41,15921,0
WIG_PALIWA,D,19920114,000000,93.08,93.08,93.08,93.08,20541,0
WIG_PALIWA,D,19920116,000000,91.51,91.51,91.51,91.51,16026,0
WIG_PALIWA,D,19920121,000000,94.73,94.73,94.73,94.73,21156,0
WIG_PALIWA,D,19920123,000000,95.27,95.27,95.27,95.27,13863,0
WIG_PALIWA,D,19920128,000000,93.33,93.33,93.33,93.33,22248,0
WIG_PALIWA,D,19920130,000000,93.74,93.74,93.74,93.74,44,0
WIG_PALIWA,D,19920204,000000,93.51,93.51,93.51,93.51,22162,0
WIG_PALIWA,D,19920206,000000,90.13,90.13,90.13,90.13,24942,0
WIG_PALIWA,D,19920211,000000,93.67,93.67,93.67,93.67,20471,0
WIG_PALIWA,D,19920213,000000,91.98,91.98,91.98,91.98,62977,0
WIG_PALIWA,D,19920218,000000,92.34,92.34,92.34,92.34,21754,0
WIG_PALIWA,D,19920220,000000,93.26,93.26,93.26,93.26,115326,0
WIG_PALIWA,D,19920225,000000,94.16,94.16,94.16,94.16,38703,0
WIG_PALIWA,D,19920227,000000,92.54,92.54,92.54,92.54,81692,0
WIG_PALIWA,D,19920303,000000,94.79,94.79,94.79,94.79,99767,0
WIG_PALIWA,D,19920305,000000,95.66,95.66,95.66,95.66,52350,0
WIG_PALIWA,D,19920310,000000,95.2,95.2,95.2,95.2,85216,0
WIG_PALIWA,D,19920312,000000,95.54,95.54,95.54,95.54,53883,0
WIG_PALIWA,D,19920317,000000,92.05,92.05,92.05,92.05,97150,0
WIG_PALIWA,D,19920319,000000,93.92,93.92,93.92,93.92,92041,0
WIG_PALIWA,D,19920324,000000,93.49,93.49,93.49,93.49,96304,0
WIG_PALIWA,D,19920326,000000,91.31,91.31,91.31,91.31,326373,0
WIG_PALIWA,D,19920331,000000,88.22,88.22,88.22,88.22,63903,0
WIG_PALIWA,D,19920402,000000,87.83,87.83,87.83,87.83,294372,0
WIG_PALIWA,D,19920407,000000,85.22,85.22,85.22,85.22,30163,0
WIG_PALIWA,D,19920409,000000,84.08,84.08,84.08,84.08,188785,0
WIG_PALIWA,D,19920414,000000,84.43,84.43,84.43,84.43,133025,0
WIG_PALIWA,D,19920416,000000,83.19,83.19,83.19,83.19,138094,0
WIG_PALIWA,D,19920423,000000,83.19,83.19,83.19,83.19,315070,0
WIG_PALIWA,D,19920428,000000,79.67,79.67,79.67,79.67,483367,0
WIG_PALIWA,D,19920430,000000,77.42,77.42,77.42,77.42,404098,0
WIG_PALIWA,D,19920505,000000,76.13,76.13,76.13,76.13,247318,0
WIG_PALIWA,D,19920507,000000,76.81,76.81,76.81,76.81,216227,0
WIG_PALIWA,D,19920512,000000,78.25,78.25,78.25,78.25,304360,0
WIG_PALIWA,D,19920514,000000,77.06,77.06,77.06,77.06,308576,0
WIG_PALIWA,D,19920519,000000,74.73,74.73,74.73,74.73,237814,0
WIG_PALIWA,D,19920521,000000,74.87,74.87,74.87,74.87,176635,0
WIG_PALIWA,D,19920526,000000,73.89,73.89,73.89,73.89,262420,0
WIG_PALIWA,D,19920528,000000,74.86,74.86,74.86,74.86,264170,0
WIG_PALIWA,D,19920602,000000,74.67,74.67,74.67,74.67,328250,0
WIG_PALIWA,D,19920604,000000,72.32,72.32,72.32,72.32,340976,0
WIG_PALIWA,D,19920609,000000,70.8,70.8,70.8,70.8,282310,0
WIG_PALIWA,D,19920611,000000,68.56,68.56,68.56,68.56,141338,0
WIG_PALIWA,D,19920616,000000,67.12,67.12,67.12,67.12,183962,0
WIG_PALIWA,D,19920623,000000,63.53,63.53,63.53,63.53,253828,0
WIG_PALIWA,D,19920625,000000,66.03,66.03,66.03,66.03,159608,0
WIG_PALIWA,D,19920630,000000,72.35,72.35,72.35,72.35,152618,0
WIG_PALIWA,D,19920702,000000,79.19,79.19,79.19,79.19,14546,0
WIG_PALIWA,D,19920707,000000,86.18,86.18,86.18,86.18,596872,0
WIG_PALIWA,D,19920709,000000,87.06,87.06,87.06,87.06,465765,0
WIG_PALIWA,D,19920714,000000,83.97,83.97,83.97,83.97,393947,0
WIG_PALIWA,D,19920716,000000,85.39,85.39,85.39,85.39,361965,0
WIG_PALIWA,D,19920721,000000,83.07,83.07,83.07,83.07,436284,0
WIG_PALIWA,D,19920723,000000,85.02,85.02,85.02,85.02,615875,0
